device=cuda preset=baseline dataset=tinystories
[cache] Loaded TinyStories train from .cache/v7_tokens/tinystories_train_v2_ms20000_sl256_r1.pt (4,465,139 tokens)
[cache] Loaded TinyStories validation from .cache/v7_tokens/tinystories_validation_v2_ms20000_sl256_r1.pt (388,958 tokens)
Train chunks: 17374, Val chunks: 1513
params: 100,359,008 (100.36M)
step 1  loss=10.8846  lr=5.00e-07
step 2  loss=10.8972  lr=1.00e-06
step 3  loss=10.9134  lr=1.50e-06
step 4  loss=10.8867  lr=2.00e-06
step 5  loss=10.8867  lr=2.50e-06
step 6  loss=10.8596  lr=3.00e-06
step 7  loss=10.8921  lr=3.50e-06
step 8  loss=10.8746  lr=4.00e-06
step 9  loss=10.8640  lr=4.50e-06
step 10  loss=10.8508  lr=5.00e-06
step 11  loss=10.8338  lr=5.50e-06
step 12  loss=10.8382  lr=6.00e-06
step 13  loss=10.8418  lr=6.50e-06
step 14  loss=10.7922  lr=7.00e-06
step 15  loss=10.7933  lr=7.50e-06
step 16  loss=10.7797  lr=8.00e-06
step 17  loss=10.7795  lr=8.50e-06
step 18  loss=10.7632  lr=9.00e-06
step 19  loss=10.7600  lr=9.50e-06
step 20  loss=10.7056  lr=1.00e-05
step 21  loss=10.7196  lr=1.05e-05
step 22  loss=10.7062  lr=1.10e-05
step 23  loss=10.6659  lr=1.15e-05
step 24  loss=10.6263  lr=1.20e-05
step 25  loss=10.6079  lr=1.25e-05
step 26  loss=10.6306  lr=1.30e-05
step 27  loss=10.5936  lr=1.35e-05
step 28  loss=10.5661  lr=1.40e-05
step 29  loss=10.4939  lr=1.45e-05
step 30  loss=10.4735  lr=1.50e-05
step 31  loss=10.4974  lr=1.55e-05
step 32  loss=10.4513  lr=1.60e-05
step 33  loss=10.4775  lr=1.65e-05
step 34  loss=10.3611  lr=1.70e-05
step 35  loss=10.4030  lr=1.75e-05
step 36  loss=10.3410  lr=1.80e-05
step 37  loss=10.3084  lr=1.85e-05
step 38  loss=10.3431  lr=1.90e-05
step 39  loss=10.2749  lr=1.95e-05
step 40  loss=10.2212  lr=2.00e-05
step 41  loss=10.1652  lr=2.05e-05
step 42  loss=10.2278  lr=2.10e-05
step 43  loss=10.1664  lr=2.15e-05
step 44  loss=10.1382  lr=2.20e-05
step 45  loss=10.0580  lr=2.25e-05
step 46  loss=10.0212  lr=2.30e-05
step 47  loss=10.0615  lr=2.35e-05
step 48  loss=10.0994  lr=2.40e-05
step 49  loss=10.0994  lr=2.45e-05
step 50  loss=10.0282  lr=2.50e-05
step 51  loss=10.0137  lr=2.55e-05
step 52  loss=9.9485  lr=2.60e-05
step 53  loss=9.9396  lr=2.65e-05
step 54  loss=9.8473  lr=2.70e-05
step 55  loss=9.8738  lr=2.75e-05
step 56  loss=9.8838  lr=2.80e-05
step 57  loss=9.8134  lr=2.85e-05
step 58  loss=9.8354  lr=2.90e-05
step 59  loss=9.7482  lr=2.95e-05
step 60  loss=9.8000  lr=3.00e-05
step 61  loss=9.7812  lr=3.05e-05
step 62  loss=9.5834  lr=3.10e-05
step 63  loss=9.6950  lr=3.15e-05
step 64  loss=9.6155  lr=3.20e-05
step 65  loss=9.5598  lr=3.25e-05
step 66  loss=9.6110  lr=3.30e-05
step 67  loss=9.4274  lr=3.35e-05
step 68  loss=9.5610  lr=3.40e-05
step 69  loss=9.5650  lr=3.45e-05
step 70  loss=9.4190  lr=3.50e-05
step 71  loss=9.5071  lr=3.55e-05
step 72  loss=9.3679  lr=3.60e-05
step 73  loss=9.3625  lr=3.65e-05
step 74  loss=9.2129  lr=3.70e-05
step 75  loss=9.2850  lr=3.75e-05
step 76  loss=9.1432  lr=3.80e-05
step 77  loss=9.1890  lr=3.85e-05
step 78  loss=9.1228  lr=3.90e-05
step 79  loss=9.0585  lr=3.95e-05
step 80  loss=9.1550  lr=4.00e-05
step 81  loss=8.8420  lr=4.05e-05
step 82  loss=8.7836  lr=4.10e-05
step 83  loss=8.8813  lr=4.15e-05
step 84  loss=8.7274  lr=4.20e-05
step 85  loss=8.8764  lr=4.25e-05
step 86  loss=8.8560  lr=4.30e-05
step 87  loss=8.6460  lr=4.35e-05
step 88  loss=8.5685  lr=4.40e-05
step 89  loss=8.6008  lr=4.45e-05
step 90  loss=8.5960  lr=4.50e-05
step 91  loss=8.5293  lr=4.55e-05
step 92  loss=8.4048  lr=4.60e-05
step 93  loss=8.4752  lr=4.65e-05
step 94  loss=8.3656  lr=4.70e-05
step 95  loss=8.2308  lr=4.75e-05
step 96  loss=8.2061  lr=4.80e-05
step 97  loss=8.1102  lr=4.85e-05
step 98  loss=8.1831  lr=4.90e-05
step 99  loss=8.2270  lr=4.95e-05
step 100  loss=8.0078  lr=5.00e-05
step 101  loss=7.9192  lr=5.00e-05
step 102  loss=8.1121  lr=5.00e-05
step 103  loss=8.0480  lr=5.00e-05
step 104  loss=8.2118  lr=5.00e-05
step 105  loss=7.6932  lr=5.00e-05
step 106  loss=7.7641  lr=5.00e-05
step 107  loss=7.8889  lr=5.00e-05
step 108  loss=7.5572  lr=5.00e-05
step 109  loss=7.7568  lr=5.00e-05
step 110  loss=7.7253  lr=5.00e-05
step 111  loss=7.4926  lr=5.00e-05
step 112  loss=7.6455  lr=5.00e-05
step 113  loss=7.4934  lr=5.00e-05
step 114  loss=7.4825  lr=5.00e-05
step 115  loss=7.3221  lr=5.00e-05
step 116  loss=7.3171  lr=5.00e-05
step 117  loss=7.4367  lr=5.00e-05
step 118  loss=7.4552  lr=5.00e-05
step 119  loss=7.6144  lr=5.00e-05
step 120  loss=7.2109  lr=5.00e-05
step 121  loss=7.3735  lr=5.00e-05
step 122  loss=7.0509  lr=5.00e-05
step 123  loss=7.0615  lr=5.00e-05
step 124  loss=7.1708  lr=5.00e-05
step 125  loss=7.1400  lr=5.00e-05
step 126  loss=7.1207  lr=5.00e-05
step 127  loss=7.1016  lr=5.00e-05
step 128  loss=7.1163  lr=5.00e-05
step 129  loss=6.8654  lr=5.00e-05
step 130  loss=7.0033  lr=5.00e-05
step 131  loss=7.0742  lr=5.00e-05
step 132  loss=6.9924  lr=5.00e-05
step 133  loss=6.7561  lr=5.00e-05
step 134  loss=6.6896  lr=5.00e-05
step 135  loss=6.6780  lr=5.00e-05
step 136  loss=6.7793  lr=5.00e-05
step 137  loss=6.8285  lr=5.00e-05
step 138  loss=6.5126  lr=5.00e-05
step 139  loss=6.6698  lr=5.00e-05
step 140  loss=6.4682  lr=5.00e-05
step 141  loss=6.5722  lr=5.00e-05
step 142  loss=6.6172  lr=5.00e-05
step 143  loss=6.3535  lr=5.00e-05
step 144  loss=6.6117  lr=5.00e-05
step 145  loss=6.5171  lr=5.00e-05
step 146  loss=6.5474  lr=5.00e-05
step 147  loss=6.3722  lr=5.00e-05
step 148  loss=6.5337  lr=5.00e-05
step 149  loss=6.3286  lr=5.00e-05
step 150  loss=6.2290  lr=5.00e-05
step 151  loss=6.2460  lr=5.00e-05
step 152  loss=6.1104  lr=5.00e-05
step 153  loss=6.1779  lr=5.00e-05
step 154  loss=6.0331  lr=5.00e-05
step 155  loss=6.2560  lr=5.00e-05
step 156  loss=6.2155  lr=5.00e-05
step 157  loss=6.1514  lr=5.00e-05
step 158  loss=5.9937  lr=5.00e-05
step 159  loss=5.9253  lr=5.00e-05
step 160  loss=6.0787  lr=5.00e-05
step 161  loss=5.9468  lr=5.00e-05
step 162  loss=6.1879  lr=5.00e-05
step 163  loss=6.0044  lr=5.00e-05
step 164  loss=5.8785  lr=5.00e-05
step 165  loss=5.8492  lr=5.00e-05
step 166  loss=5.8337  lr=5.00e-05
step 167  loss=5.7469  lr=5.00e-05
step 168  loss=5.7558  lr=5.00e-05
step 169  loss=5.8969  lr=5.00e-05
step 170  loss=5.6468  lr=5.00e-05
step 171  loss=5.7900  lr=5.00e-05
step 172  loss=5.7405  lr=5.00e-05
step 173  loss=5.6734  lr=5.00e-05
