device=cuda preset=baseline_real dataset=tinystories
[cache] Loaded TinyStories train from .cache/v7_tokens/tinystories_train_v2_ms20000_sl256_r1.pt (4,465,139 tokens)
[cache] Loaded TinyStories validation from .cache/v7_tokens/tinystories_validation_v2_ms20000_sl256_r1.pt (388,958 tokens)
Train chunks: 17374, Val chunks: 1513
params: 161,972,192 (161.97M)
step 1  loss=10.9738  lr=5.00e-07
step 2  loss=10.9986  lr=1.00e-06
step 3  loss=11.0110  lr=1.50e-06
step 4  loss=10.9534  lr=2.00e-06
step 5  loss=10.9651  lr=2.50e-06
step 6  loss=10.9314  lr=3.00e-06
step 7  loss=10.9396  lr=3.50e-06
step 8  loss=10.9234  lr=4.00e-06
step 9  loss=10.8877  lr=4.50e-06
step 10  loss=10.8754  lr=5.00e-06
step 11  loss=10.8544  lr=5.50e-06
step 12  loss=10.8146  lr=6.00e-06
step 13  loss=10.7835  lr=6.50e-06
step 14  loss=10.7812  lr=7.00e-06
step 15  loss=10.6920  lr=7.50e-06
step 16  loss=10.6907  lr=8.00e-06
step 17  loss=10.6475  lr=8.50e-06
step 18  loss=10.5985  lr=9.00e-06
step 19  loss=10.5532  lr=9.50e-06
step 20  loss=10.5467  lr=1.00e-05
step 21  loss=10.4903  lr=1.05e-05
step 22  loss=10.4471  lr=1.10e-05
step 23  loss=10.3906  lr=1.15e-05
step 24  loss=10.4210  lr=1.20e-05
step 25  loss=10.3216  lr=1.25e-05
step 26  loss=10.3123  lr=1.30e-05
step 27  loss=10.1910  lr=1.35e-05
step 28  loss=10.2123  lr=1.40e-05
step 29  loss=10.1750  lr=1.45e-05
step 30  loss=10.1543  lr=1.50e-05
step 31  loss=9.9700  lr=1.55e-05
step 32  loss=10.0763  lr=1.60e-05
step 33  loss=9.9662  lr=1.65e-05
step 34  loss=9.9031  lr=1.70e-05
step 35  loss=9.9138  lr=1.75e-05
step 36  loss=9.7743  lr=1.80e-05
step 37  loss=9.9345  lr=1.85e-05
step 38  loss=9.7994  lr=1.90e-05
step 39  loss=9.6404  lr=1.95e-05
step 40  loss=9.6329  lr=2.00e-05
step 41  loss=9.6043  lr=2.05e-05
step 42  loss=9.4567  lr=2.10e-05
step 43  loss=9.4711  lr=2.15e-05
step 44  loss=9.5521  lr=2.20e-05
step 45  loss=9.4114  lr=2.25e-05
step 46  loss=9.5269  lr=2.30e-05
step 47  loss=9.2819  lr=2.35e-05
step 48  loss=9.3789  lr=2.40e-05
step 49  loss=9.3614  lr=2.45e-05
step 50  loss=9.1067  lr=2.50e-05
step 51  loss=9.2431  lr=2.55e-05
step 52  loss=9.2968  lr=2.60e-05
step 53  loss=9.1181  lr=2.65e-05
step 54  loss=9.2019  lr=2.70e-05
step 55  loss=9.0132  lr=2.75e-05
step 56  loss=9.0644  lr=2.80e-05
step 57  loss=8.9187  lr=2.85e-05
step 58  loss=8.7752  lr=2.90e-05
step 59  loss=8.9942  lr=2.95e-05
step 60  loss=8.9049  lr=3.00e-05
step 61  loss=8.7478  lr=3.05e-05
step 62  loss=8.8744  lr=3.10e-05
step 63  loss=8.5541  lr=3.15e-05
step 64  loss=8.5666  lr=3.20e-05
step 65  loss=8.5183  lr=3.25e-05
step 66  loss=8.5552  lr=3.30e-05
step 67  loss=8.4865  lr=3.35e-05
step 68  loss=8.3446  lr=3.40e-05
step 69  loss=8.3519  lr=3.45e-05
