device=cuda preset=baseline_real_pm dataset=tinystories
[cache] Loaded TinyStories train from .cache/v7_tokens/tinystories_train_v2_ms20000_sl256_r1.pt (4,465,139 tokens)
[cache] Loaded TinyStories validation from .cache/v7_tokens/tinystories_validation_v2_ms20000_sl256_r1.pt (388,958 tokens)
Train chunks: 17374, Val chunks: 1513
params: 101,889,452 (101.89M)
step 1  loss=10.9516  lr=5.00e-07
step 2  loss=10.9359  lr=1.00e-06
step 3  loss=10.9536  lr=1.50e-06
step 4  loss=10.9354  lr=2.00e-06
step 5  loss=10.9421  lr=2.50e-06
step 6  loss=10.9392  lr=3.00e-06
step 7  loss=10.9251  lr=3.50e-06
step 8  loss=10.9157  lr=4.00e-06
step 9  loss=10.9225  lr=4.50e-06
step 10  loss=10.8953  lr=5.00e-06
step 11  loss=10.8675  lr=5.50e-06
step 12  loss=10.8785  lr=6.00e-06
step 13  loss=10.8326  lr=6.50e-06
step 14  loss=10.8353  lr=7.00e-06
step 15  loss=10.7991  lr=7.50e-06
step 16  loss=10.7964  lr=8.00e-06
step 17  loss=10.7639  lr=8.50e-06
step 18  loss=10.7304  lr=9.00e-06
step 19  loss=10.7474  lr=9.50e-06
step 20  loss=10.7340  lr=1.00e-05
step 21  loss=10.6656  lr=1.05e-05
step 22  loss=10.6424  lr=1.10e-05
step 23  loss=10.5887  lr=1.15e-05
step 24  loss=10.5950  lr=1.20e-05
step 25  loss=10.5867  lr=1.25e-05
step 26  loss=10.5771  lr=1.30e-05
step 27  loss=10.4896  lr=1.35e-05
step 28  loss=10.4706  lr=1.40e-05
step 29  loss=10.4965  lr=1.45e-05
step 30  loss=10.4181  lr=1.50e-05
step 31  loss=10.4124  lr=1.55e-05
step 32  loss=10.3431  lr=1.60e-05
step 33  loss=10.3554  lr=1.65e-05
step 34  loss=10.2753  lr=1.70e-05
step 35  loss=10.2742  lr=1.75e-05
step 36  loss=10.2245  lr=1.80e-05
step 37  loss=10.1936  lr=1.85e-05
step 38  loss=10.1237  lr=1.90e-05
step 39  loss=10.1658  lr=1.95e-05
step 40  loss=10.1961  lr=2.00e-05
step 41  loss=10.0406  lr=2.05e-05
step 42  loss=10.1275  lr=2.10e-05
step 43  loss=10.0924  lr=2.15e-05
step 44  loss=9.9615  lr=2.20e-05
step 45  loss=9.9267  lr=2.25e-05
step 46  loss=10.0016  lr=2.30e-05
step 47  loss=9.8374  lr=2.35e-05
step 48  loss=9.9237  lr=2.40e-05
step 49  loss=9.9103  lr=2.45e-05
step 50  loss=9.7723  lr=2.50e-05
step 51  loss=9.8756  lr=2.55e-05
step 52  loss=9.8634  lr=2.60e-05
step 53  loss=9.7496  lr=2.65e-05
step 54  loss=9.7516  lr=2.70e-05
step 55  loss=9.6151  lr=2.75e-05
step 56  loss=9.4851  lr=2.80e-05
step 57  loss=9.6740  lr=2.85e-05
step 58  loss=9.5700  lr=2.90e-05
step 59  loss=9.4893  lr=2.95e-05
step 60  loss=9.4711  lr=3.00e-05
step 61  loss=9.4299  lr=3.05e-05
step 62  loss=9.3748  lr=3.10e-05
step 63  loss=9.4697  lr=3.15e-05
step 64  loss=9.3668  lr=3.20e-05
step 65  loss=9.3523  lr=3.25e-05
step 66  loss=9.3992  lr=3.30e-05
step 67  loss=9.1861  lr=3.35e-05
step 68  loss=9.3660  lr=3.40e-05
step 69  loss=9.1050  lr=3.45e-05
step 70  loss=9.2456  lr=3.50e-05
step 71  loss=9.1705  lr=3.55e-05
step 72  loss=9.0366  lr=3.60e-05
step 73  loss=8.8550  lr=3.65e-05
step 74  loss=9.0737  lr=3.70e-05
step 75  loss=8.7653  lr=3.75e-05
step 76  loss=8.8803  lr=3.80e-05
step 77  loss=8.8365  lr=3.85e-05
step 78  loss=8.7808  lr=3.90e-05
step 79  loss=8.9078  lr=3.95e-05
step 80  loss=8.6322  lr=4.00e-05
step 81  loss=8.4913  lr=4.05e-05
step 82  loss=8.4257  lr=4.10e-05
step 83  loss=8.6130  lr=4.15e-05
step 84  loss=8.3520  lr=4.20e-05
step 85  loss=8.3780  lr=4.25e-05
step 86  loss=8.3815  lr=4.30e-05
step 87  loss=8.2145  lr=4.35e-05
step 88  loss=8.1194  lr=4.40e-05
step 89  loss=8.1738  lr=4.45e-05
step 90  loss=8.1149  lr=4.50e-05
step 91  loss=8.0004  lr=4.55e-05
step 92  loss=8.1014  lr=4.60e-05
step 93  loss=7.9595  lr=4.65e-05
step 94  loss=7.7233  lr=4.70e-05
step 95  loss=7.7812  lr=4.75e-05
step 96  loss=7.7976  lr=4.80e-05
step 97  loss=7.9137  lr=4.85e-05
step 98  loss=7.5828  lr=4.90e-05
step 99  loss=7.7026  lr=4.95e-05
step 100  loss=7.5303  lr=5.00e-05
step 101  loss=7.5203  lr=5.00e-05
step 102  loss=7.5644  lr=5.00e-05
step 103  loss=7.3484  lr=5.00e-05
step 104  loss=7.3845  lr=5.00e-05
step 105  loss=7.3971  lr=5.00e-05
step 106  loss=7.3128  lr=5.00e-05
step 107  loss=7.3341  lr=5.00e-05
step 108  loss=7.2281  lr=5.00e-05
step 109  loss=7.3951  lr=5.00e-05
step 110  loss=7.0307  lr=5.00e-05
step 111  loss=7.0450  lr=5.00e-05
step 112  loss=7.0961  lr=5.00e-05
step 113  loss=6.9874  lr=5.00e-05
step 114  loss=7.0583  lr=5.00e-05
step 115  loss=7.0724  lr=5.00e-05
step 116  loss=7.2020  lr=5.00e-05
step 117  loss=7.0663  lr=5.00e-05
step 118  loss=6.9380  lr=5.00e-05
step 119  loss=6.8545  lr=5.00e-05
step 120  loss=6.7275  lr=5.00e-05
step 121  loss=6.5961  lr=5.00e-05
step 122  loss=6.8480  lr=5.00e-05
step 123  loss=6.6649  lr=5.00e-05
step 124  loss=6.7125  lr=5.00e-05
step 125  loss=6.7341  lr=5.00e-05
step 126  loss=6.5899  lr=5.00e-05
step 127  loss=6.7227  lr=5.00e-05
step 128  loss=6.7163  lr=5.00e-05
step 129  loss=6.5375  lr=5.00e-05
step 130  loss=6.4456  lr=5.00e-05
step 131  loss=6.3757  lr=5.00e-05
step 132  loss=6.4959  lr=5.00e-05
step 133  loss=6.3457  lr=5.00e-05
step 134  loss=6.4683  lr=5.00e-05
step 135  loss=6.1516  lr=5.00e-05
step 136  loss=6.2720  lr=5.00e-05
step 137  loss=6.3964  lr=5.00e-05
step 138  loss=6.2741  lr=5.00e-05
step 139  loss=6.1037  lr=5.00e-05
step 140  loss=6.4298  lr=5.00e-05
step 141  loss=6.2842  lr=5.00e-05
step 142  loss=6.0497  lr=5.00e-05
step 143  loss=6.1223  lr=5.00e-05
step 144  loss=6.0142  lr=5.00e-05
step 145  loss=6.0056  lr=5.00e-05
step 146  loss=6.0641  lr=5.00e-05
step 147  loss=6.0215  lr=5.00e-05
step 148  loss=6.0837  lr=5.00e-05
step 149  loss=5.8351  lr=5.00e-05
step 150  loss=6.0090  lr=5.00e-05
step 151  loss=5.8286  lr=5.00e-05
step 152  loss=5.9655  lr=5.00e-05
step 153  loss=6.0183  lr=5.00e-05
step 154  loss=5.8206  lr=5.00e-05
step 155  loss=5.9389  lr=5.00e-05
step 156  loss=5.9204  lr=5.00e-05
step 157  loss=5.8333  lr=5.00e-05
step 158  loss=5.7633  lr=5.00e-05
step 159  loss=5.8959  lr=5.00e-05
step 160  loss=5.6851  lr=5.00e-05
step 161  loss=5.6393  lr=5.00e-05
step 162  loss=5.7344  lr=5.00e-05
step 163  loss=5.7219  lr=5.00e-05
step 164  loss=5.4847  lr=5.00e-05
step 165  loss=5.7319  lr=5.00e-05
step 166  loss=5.5476  lr=5.00e-05
step 167  loss=5.5550  lr=5.00e-05
step 168  loss=5.5079  lr=5.00e-05
step 169  loss=5.4474  lr=5.00e-05
step 170  loss=5.5057  lr=5.00e-05
step 171  loss=5.6131  lr=5.00e-05
step 172  loss=5.6097  lr=5.00e-05
step 173  loss=5.3790  lr=5.00e-05
step 174  loss=5.5947  lr=5.00e-05
step 175  loss=5.5152  lr=5.00e-05
step 176  loss=5.3273  lr=5.00e-05
step 177  loss=5.3895  lr=5.00e-05
step 178  loss=5.4059  lr=5.00e-05
step 179  loss=5.4008  lr=5.00e-05
step 180  loss=5.3130  lr=5.00e-05
step 181  loss=5.3312  lr=5.00e-05
step 182  loss=5.2709  lr=5.00e-05
step 183  loss=5.1970  lr=5.00e-05
step 184  loss=5.2590  lr=5.00e-05
step 185  loss=5.3051  lr=5.00e-05
step 186  loss=5.4658  lr=5.00e-05
step 187  loss=5.2730  lr=5.00e-05
step 188  loss=5.1944  lr=5.00e-05
step 189  loss=5.2033  lr=5.00e-05
step 190  loss=5.0542  lr=5.00e-05
step 191  loss=5.1206  lr=5.00e-05
step 192  loss=5.3232  lr=5.00e-05
step 193  loss=5.0963  lr=5.00e-05
step 194  loss=5.0413  lr=5.00e-05
step 195  loss=5.2050  lr=5.00e-05
step 196  loss=5.1251  lr=5.00e-05
step 197  loss=5.1106  lr=5.00e-05
step 198  loss=4.9365  lr=5.00e-05
step 199  loss=4.9100  lr=5.00e-05
step 200  loss=4.8809  lr=5.00e-05
step 201  loss=4.8421  lr=5.00e-05
step 202  loss=5.0935  lr=5.00e-05
step 203  loss=5.0576  lr=5.00e-05
step 204  loss=5.0674  lr=5.00e-05
step 205  loss=5.0915  lr=5.00e-05
step 206  loss=5.0759  lr=5.00e-05
step 207  loss=4.8922  lr=5.00e-05
step 208  loss=5.0680  lr=5.00e-05
step 209  loss=4.9671  lr=5.00e-05
step 210  loss=5.1157  lr=5.00e-05
step 211  loss=4.9090  lr=5.00e-05
step 212  loss=4.6845  lr=5.00e-05
step 213  loss=5.0134  lr=5.00e-05
step 214  loss=4.9772  lr=5.00e-05
step 215  loss=5.0182  lr=5.00e-05
step 216  loss=5.0630  lr=5.00e-05
step 217  loss=4.7611  lr=5.00e-05
step 218  loss=4.8219  lr=5.00e-05
step 219  loss=4.7043  lr=5.00e-05
step 220  loss=4.9443  lr=5.00e-05
step 221  loss=4.8668  lr=5.00e-05
step 222  loss=4.8760  lr=5.00e-05
step 223  loss=4.9485  lr=5.00e-05
step 224  loss=4.5754  lr=5.00e-05
step 225  loss=4.9691  lr=5.00e-05
step 226  loss=4.7415  lr=5.00e-05
step 227  loss=4.7495  lr=5.00e-05
step 228  loss=4.7011  lr=5.00e-05
step 229  loss=4.8692  lr=5.00e-05
step 230  loss=4.7184  lr=5.00e-05
step 231  loss=4.6991  lr=5.00e-05
step 232  loss=4.6589  lr=5.00e-05
step 233  loss=4.6407  lr=5.00e-05
step 234  loss=4.5800  lr=5.00e-05
step 235  loss=4.6628  lr=5.00e-05
step 236  loss=4.4570  lr=5.00e-05
step 237  loss=4.5320  lr=5.00e-05
step 238  loss=4.6749  lr=5.00e-05
step 239  loss=4.7362  lr=5.00e-05
step 240  loss=4.4720  lr=5.00e-05
step 241  loss=4.7986  lr=5.00e-05
step 242  loss=4.5922  lr=5.00e-05
step 243  loss=4.7341  lr=5.00e-05
step 244  loss=4.4856  lr=5.00e-05
step 245  loss=4.5297  lr=5.00e-05
step 246  loss=4.5165  lr=5.00e-05
step 247  loss=4.6495  lr=5.00e-05
step 248  loss=4.7857  lr=5.00e-05
step 249  loss=4.6819  lr=5.00e-05
step 250  loss=4.4854  lr=5.00e-05
step 251  loss=4.5101  lr=5.00e-05
step 252  loss=4.4887  lr=5.00e-05
step 253  loss=4.5401  lr=5.00e-05
step 254  loss=4.3268  lr=5.00e-05
step 255  loss=4.4382  lr=5.00e-05
step 256  loss=4.3012  lr=5.00e-05
step 257  loss=4.6228  lr=5.00e-05
step 258  loss=4.7934  lr=5.00e-05
step 259  loss=4.5467  lr=5.00e-05
step 260  loss=4.4366  lr=4.99e-05
step 261  loss=4.5449  lr=4.99e-05
step 262  loss=4.5931  lr=4.99e-05
step 263  loss=4.5324  lr=4.99e-05
step 264  loss=4.6314  lr=4.99e-05
step 265  loss=4.4749  lr=4.99e-05
step 266  loss=4.5741  lr=4.99e-05
step 267  loss=4.4224  lr=4.99e-05
step 268  loss=4.2938  lr=4.99e-05
step 269  loss=4.4741  lr=4.99e-05
step 270  loss=4.2258  lr=4.99e-05
step 271  loss=4.3703  lr=4.99e-05
step 272  loss=4.3033  lr=4.99e-05
step 273  loss=4.2615  lr=4.99e-05
step 274  loss=4.2891  lr=4.99e-05
step 275  loss=4.4204  lr=4.99e-05
step 276  loss=4.7674  lr=4.99e-05
step 277  loss=4.4242  lr=4.99e-05
step 278  loss=4.8520  lr=4.99e-05
step 279  loss=4.5701  lr=4.99e-05
step 280  loss=4.6443  lr=4.99e-05
step 281  loss=4.3700  lr=4.99e-05
step 282  loss=4.5006  lr=4.99e-05
step 283  loss=4.3165  lr=4.99e-05
step 284  loss=4.2606  lr=4.99e-05
step 285  loss=4.4068  lr=4.99e-05
step 286  loss=4.6079  lr=4.99e-05
step 287  loss=4.4641  lr=4.99e-05
step 288  loss=4.3624  lr=4.99e-05
step 289  loss=4.1395  lr=4.99e-05
step 290  loss=4.4320  lr=4.99e-05
step 291  loss=4.4579  lr=4.99e-05
step 292  loss=4.2523  lr=4.99e-05
step 293  loss=4.3559  lr=4.99e-05
step 294  loss=4.1426  lr=4.99e-05
step 295  loss=4.4805  lr=4.99e-05
step 296  loss=4.1676  lr=4.99e-05
step 297  loss=4.4777  lr=4.99e-05
step 298  loss=4.3384  lr=4.99e-05
step 299  loss=4.3807  lr=4.99e-05
step 300  loss=4.4312  lr=4.99e-05
step 301  loss=4.2982  lr=4.99e-05
step 302  loss=4.3325  lr=4.99e-05
step 303  loss=4.3696  lr=4.99e-05
step 304  loss=4.4451  lr=4.99e-05
step 305  loss=4.5170  lr=4.99e-05
step 306  loss=4.5204  lr=4.99e-05
step 307  loss=4.3805  lr=4.99e-05
step 308  loss=4.1709  lr=4.99e-05
step 309  loss=4.5140  lr=4.99e-05
step 310  loss=4.4810  lr=4.99e-05
step 311  loss=4.2199  lr=4.99e-05
step 312  loss=4.3461  lr=4.99e-05
step 313  loss=4.2753  lr=4.99e-05
step 314  loss=4.3431  lr=4.99e-05
step 315  loss=4.3873  lr=4.99e-05
step 316  loss=4.3635  lr=4.99e-05
step 317  loss=4.3807  lr=4.99e-05
step 318  loss=4.4646  lr=4.99e-05
step 319  loss=4.3369  lr=4.99e-05
step 320  loss=4.4335  lr=4.99e-05
step 321  loss=4.3952  lr=4.99e-05
step 322  loss=4.3468  lr=4.99e-05
step 323  loss=4.3696  lr=4.99e-05
step 324  loss=4.2460  lr=4.99e-05
step 325  loss=4.1814  lr=4.99e-05
step 326  loss=4.0231  lr=4.99e-05
step 327  loss=4.3479  lr=4.99e-05
step 328  loss=4.4509  lr=4.99e-05
step 329  loss=4.2121  lr=4.99e-05
step 330  loss=4.5266  lr=4.99e-05
step 331  loss=4.2405  lr=4.99e-05
step 332  loss=4.2114  lr=4.99e-05
step 333  loss=4.3505  lr=4.99e-05
step 334  loss=4.1181  lr=4.99e-05
step 335  loss=4.2884  lr=4.99e-05
step 336  loss=4.0941  lr=4.99e-05
step 337  loss=4.0330  lr=4.99e-05
step 338  loss=3.9480  lr=4.99e-05
step 339  loss=4.3757  lr=4.99e-05
step 340  loss=4.3075  lr=4.99e-05
step 341  loss=4.3463  lr=4.99e-05
step 342  loss=3.9230  lr=4.99e-05
step 343  loss=4.0726  lr=4.99e-05
step 344  loss=4.2218  lr=4.99e-05
step 345  loss=4.4333  lr=4.99e-05
step 346  loss=4.1611  lr=4.99e-05
step 347  loss=4.1483  lr=4.99e-05
step 348  loss=4.3085  lr=4.99e-05
step 349  loss=4.3560  lr=4.99e-05
step 350  loss=4.2682  lr=4.99e-05
step 351  loss=4.0824  lr=4.99e-05
step 352  loss=4.1225  lr=4.99e-05
step 353  loss=4.1677  lr=4.99e-05
step 354  loss=3.8240  lr=4.99e-05
step 355  loss=4.0140  lr=4.99e-05
step 356  loss=4.0568  lr=4.99e-05
step 357  loss=4.1244  lr=4.99e-05
step 358  loss=4.2616  lr=4.99e-05
step 359  loss=3.9353  lr=4.99e-05
step 360  loss=4.2826  lr=4.99e-05
step 361  loss=4.2251  lr=4.99e-05
step 362  loss=4.1473  lr=4.99e-05
step 363  loss=4.0233  lr=4.99e-05
step 364  loss=4.2585  lr=4.99e-05
step 365  loss=3.9590  lr=4.99e-05
step 366  loss=4.3394  lr=4.99e-05
step 367  loss=4.3481  lr=4.99e-05
step 368  loss=4.0841  lr=4.99e-05
step 369  loss=4.0074  lr=4.99e-05
step 370  loss=4.0665  lr=4.99e-05
step 371  loss=4.1921  lr=4.99e-05
step 372  loss=4.3582  lr=4.99e-05
step 373  loss=4.1099  lr=4.99e-05
step 374  loss=3.9152  lr=4.99e-05
step 375  loss=4.1241  lr=4.99e-05
step 376  loss=3.8976  lr=4.98e-05
step 377  loss=4.2219  lr=4.98e-05
step 378  loss=4.2358  lr=4.98e-05
step 379  loss=4.1177  lr=4.98e-05
step 380  loss=4.1343  lr=4.98e-05
step 381  loss=4.2793  lr=4.98e-05
step 382  loss=3.9234  lr=4.98e-05
step 383  loss=3.9639  lr=4.98e-05
step 384  loss=4.1983  lr=4.98e-05
step 385  loss=4.3650  lr=4.98e-05
step 386  loss=3.9144  lr=4.98e-05
step 387  loss=4.0061  lr=4.98e-05
step 388  loss=4.2780  lr=4.98e-05
step 389  loss=3.9277  lr=4.98e-05
step 390  loss=4.1122  lr=4.98e-05
step 391  loss=4.0706  lr=4.98e-05
step 392  loss=4.0851  lr=4.98e-05
step 393  loss=3.9258  lr=4.98e-05
step 394  loss=4.0221  lr=4.98e-05
step 395  loss=3.9754  lr=4.98e-05
step 396  loss=3.9931  lr=4.98e-05
step 397  loss=4.0613  lr=4.98e-05
step 398  loss=3.9449  lr=4.98e-05
step 399  loss=4.1114  lr=4.98e-05
step 400  loss=4.2657  lr=4.98e-05
step 401  loss=4.0169  lr=4.98e-05
step 402  loss=4.2692  lr=4.98e-05
step 403  loss=4.2130  lr=4.98e-05
step 404  loss=4.1487  lr=4.98e-05
step 405  loss=3.9770  lr=4.98e-05
step 406  loss=4.1556  lr=4.98e-05
step 407  loss=4.0514  lr=4.98e-05
step 408  loss=4.1604  lr=4.98e-05
step 409  loss=4.0430  lr=4.98e-05
step 410  loss=4.1119  lr=4.98e-05
step 411  loss=4.1004  lr=4.98e-05
step 412  loss=3.9096  lr=4.98e-05
step 413  loss=3.9090  lr=4.98e-05
step 414  loss=4.0026  lr=4.98e-05
step 415  loss=4.0198  lr=4.98e-05
step 416  loss=4.0086  lr=4.98e-05
step 417  loss=4.3120  lr=4.98e-05
step 418  loss=4.0174  lr=4.98e-05
step 419  loss=4.1350  lr=4.98e-05
step 420  loss=4.0964  lr=4.98e-05
step 421  loss=4.1332  lr=4.98e-05
step 422  loss=3.7926  lr=4.98e-05
step 423  loss=4.2423  lr=4.98e-05
step 424  loss=4.0683  lr=4.98e-05
step 425  loss=3.7415  lr=4.98e-05
step 426  loss=4.3873  lr=4.98e-05
step 427  loss=3.9756  lr=4.98e-05
step 428  loss=3.9927  lr=4.98e-05
step 429  loss=4.0726  lr=4.98e-05
step 430  loss=4.0300  lr=4.98e-05
step 431  loss=3.9923  lr=4.98e-05
step 432  loss=4.1725  lr=4.98e-05
step 433  loss=3.9636  lr=4.98e-05
step 434  loss=3.8302  lr=4.98e-05
step 435  loss=3.9452  lr=4.98e-05
step 436  loss=3.7459  lr=4.98e-05
step 437  loss=3.8950  lr=4.98e-05
step 438  loss=3.9801  lr=4.98e-05
step 439  loss=4.0883  lr=4.98e-05
