[2026-05-09 07:09:42] Wall clock start: 2026-05-09 07:09:42
[2026-05-09 07:09:42] ============================================================
[2026-05-09 07:09:42] V5 Algebraic Language Model
[2026-05-09 07:09:42] ============================================================
[2026-05-09 07:09:42] Size: medium-v5-100m
[2026-05-09 07:09:42] Dataset: wikitext103
[2026-05-09 07:09:42] Complex dim: 288 (= 576 real values/position)
[2026-05-09 07:09:42] SSM state dim: 576
[2026-05-09 07:09:42] Layers: 16
[2026-05-09 07:09:42] Banks: 2
[2026-05-09 07:09:42] Attention every: 0 layers (0=none)
[2026-05-09 07:09:42] Attention window: 256
[2026-05-09 07:09:42] Epochs: 10
[2026-05-09 07:09:42] Max samples: 9999999
[2026-05-09 07:09:42] Max val samples: 999999
[2026-05-09 07:09:42] LR: 1.00e-04 | weight_decay: 0.010
[2026-05-09 07:09:42] Dropout: 0.100
[2026-05-09 07:09:42] LR schedule: cosine | warmup_steps: 1000
[2026-05-09 07:09:42] Tokenize batch size: 512
[2026-05-09 07:09:42] Text repair: True
[2026-05-09 07:09:42] Token cache: True (dir=.cache/v5_tokens)
[2026-05-09 07:09:42] Log interval: 50
[2026-05-09 07:09:42] AMP dtype: auto
[2026-05-09 07:09:42] TF32 enabled: True
[2026-05-09 07:09:42] Attention backend: native
[2026-05-09 07:09:42] Validation mode: autocast
[2026-05-09 07:09:42] Compile: True (mode=default, fullgraph=False)
[2026-05-09 07:09:42] DataLoader workers: 4, pin_memory: True
[2026-05-09 07:09:42] Log file: logs/v5/medium_v5_100m_wikitext103_20260509_070942_fad662a_dirty/v5_train_medium-v5-100m.log
[2026-05-09 07:09:42] Checkpoint dir: checkpoints_v5_medium_100m
[2026-05-09 07:09:42] ============================================================
[2026-05-09 07:09:45] Loading WikiText-103 train (limit=None)...
[2026-05-09 07:13:55]   train: 1801350 lines, 118,496,145 tokens
[2026-05-09 07:13:56] [cache] Saved train to .cache/v5_tokens/wikitext103_train_v1_full_sl2048.pt
[2026-05-09 07:13:56] Loading WikiText-103 validation (limit=None)...
[2026-05-09 07:14:01]   validation: 3760 lines, 248,461 tokens
[2026-05-09 07:14:01] [cache] Saved validation to .cache/v5_tokens/wikitext103_validation_v1_full_sl2048.pt
[2026-05-09 07:14:01] Train chunks: 57831, Val chunks: 121
[2026-05-09 07:14:04] Init strategy: orthogonal (seed: 42)
[2026-05-09 07:14:04] Compiling model with torch.compile (mode='default', fullgraph=False)...
[2026-05-09 07:14:05] Model compiled successfully.

[2026-05-09 07:14:06] Training on cuda
[2026-05-09 07:14:06] AMP: bf16 | TF32: True
[2026-05-09 07:14:06] Parameters: {'embed (tied w/ output)': 28948032, 'banks': 55798944, 'ssm': 15980848, 'attention': 0, 'lm_head_proj': 166752, 'total': 100894576}
[2026-05-09 07:14:06] Total: 100,894,576 (100.9M)
[2026-05-09 07:14:06] Epochs: 1..10, Batches/epoch: 19277


[2026-05-09 07:14:06] ============================================================
[2026-05-09 07:14:06] Epoch 1/10
[2026-05-09 07:14:06] ============================================================
[2026-05-09 07:14:57]   First step wall time: 50.9s (includes compile)
[2026-05-09 07:14:57]   [1] batch 0/19277 loss=10.8785 ppl=53025.6 div=2.08e-04 wdiv=1.04e-05 lr=1.00e-04 | inst 120 tok/s avg 120 tok/s |   0.0% eta 273:19:59 | mem 2.1/19.4G peak 19.4G
[2026-05-09 07:15:22]   [1] batch 49/19277 loss=8.6594 ppl=5764.1 div=1.79e-02 wdiv=8.96e-04 lr=1.00e-04 | inst 12218 tok/s avg 4059 tok/s |   0.3% eta 2:41:08 | mem 2.1/21.0G peak 21.0G
[2026-05-09 07:15:47]   [1] batch 99/19277 loss=7.3796 ppl=1603.0 div=2.38e-02 wdiv=1.19e-03 lr=1.00e-04 | inst 12055 tok/s avg 6073 tok/s |   0.5% eta 2:42:54 | mem 2.1/21.0G peak 21.0G
[2026-05-09 07:16:12]   [1] batch 149/19277 loss=7.1646 ppl=1292.8 div=2.69e-02 wdiv=1.34e-03 lr=1.00e-04 | inst 12228 tok/s avg 7297 tok/s |   0.8% eta 2:40:10 | mem 2.1/21.0G peak 21.0G
[2026-05-09 07:16:37]   [1] batch 199/19277 loss=6.7701 ppl=871.4 div=2.69e-02 wdiv=1.35e-03 lr=1.00e-04 | inst 12339 tok/s avg 8127 tok/s |   1.0% eta 2:38:19 | mem 2.1/21.0G peak 21.0G
[2026-05-09 07:17:03]   [1] batch 249/19277 loss=6.4581 ppl=637.9 div=2.57e-02 wdiv=1.29e-03 lr=1.00e-04 | inst 12096 tok/s avg 8698 tok/s |   1.3% eta 2:41:04 | mem 2.1/21.0G peak 21.0G
[2026-05-09 07:17:28]   [1] batch 299/19277 loss=6.5223 ppl=680.2 div=2.27e-02 wdiv=1.14e-03 lr=1.00e-04 | inst 12229 tok/s avg 9138 tok/s |   1.6% eta 2:38:54 | mem 2.1/21.0G peak 21.0G
[2026-05-09 07:17:53]   [1] batch 349/19277 loss=6.7850 ppl=884.5 div=2.25e-02 wdiv=1.12e-03 lr=1.00e-04 | inst 12231 tok/s avg 9480 tok/s |   1.8% eta 2:38:27 | mem 2.1/21.0G peak 21.0G
[2026-05-09 07:18:18]   [1] batch 399/19277 loss=6.2012 ppl=493.3 div=2.21e-02 wdiv=1.10e-03 lr=1.00e-04 | inst 12094 tok/s avg 9743 tok/s |   2.1% eta 2:39:50 | mem 2.1/21.0G peak 21.0G
[2026-05-09 07:18:43]   [1] batch 449/19277 loss=6.2740 ppl=530.6 div=2.17e-02 wdiv=1.08e-03 lr=1.00e-04 | inst 12233 tok/s avg 9969 tok/s |   2.3% eta 2:37:36 | mem 2.1/21.0G peak 21.0G
[2026-05-09 07:19:08]   [1] batch 499/19277 loss=6.0336 ppl=417.2 div=2.21e-02 wdiv=1.10e-03 lr=1.00e-04 | inst 12347 tok/s avg 10165 tok/s |   2.6% eta 2:35:44 | mem 2.1/21.0G peak 21.0G
[2026-05-09 07:19:34]   [1] batch 549/19277 loss=6.3001 ppl=544.6 div=2.12e-02 wdiv=1.06e-03 lr=1.00e-04 | inst 12092 tok/s avg 10314 tok/s |   2.9% eta 2:38:35 | mem 2.1/21.0G peak 21.0G
[2026-05-09 07:19:59]   [1] batch 599/19277 loss=6.1110 ppl=450.8 div=2.05e-02 wdiv=1.03e-03 lr=1.00e-04 | inst 12228 tok/s avg 10450 tok/s |   3.1% eta 2:36:24 | mem 2.1/21.0G peak 21.0G
