Wall clock start: 2026-03-09 12:48:14
============================================================
V6 Phase-First Language Model
============================================================
Size: tiny
Complex dim: 64 (= 128 real values/position)
SSM state dim: 128 (multi-timescale: fast/medium/slow)
Layers: 4
Banks: 2 (semantic + context)
Working memory slots: 2 (top-k=8, decay=0.95)
Internal memory slots: 4 (top-k=8)
PhaseAttention: DISABLED (attention-free)
Diversity loss: weight=0.1, floor=0.02, margin=0.3
Epochs: 1
Mid-epoch generation: every 5000 batches, prompt="Once upon a time, there was a little"
Max samples: 9999999
Log file: logs/v6/tiny_wm2_im4/v6_train_tiny.log
Checkpoint dir: checkpoints/v6/tiny_wm2_im4
============================================================
Loading TinyStories (max_samples=9999999)...
Tokenizing 2119489 texts...
Token indices sequence length is longer than the specified maximum sequence length for this model (1106 > 1024). Running this sequence through the model will result in indexing errors
Total tokens: 473,992,006
[cache] Saved tokenized dataset to .cache/tinystories/tokens_ms9999999_sl256.pt
Train chunks: 1659894, Val chunks: 184432
Init strategy: orthogonal (seed: 42)

Training on cuda
Parameters: {'embed (tied w/ output)': 6432896, 'banks': 394752, 'couplers': 133640, 'attention': 0, 'ssm': 199748, 'working_memory': 24769, 'internal_memory': 9280, 'persistent_reader': 8256, 'expert_reader': 8256, 'memory_fusion': 75785, 'lm_head_proj': 8384, 'total': 7295766}
Total: 7,295,766 (7.3M)
Epochs: 1..1, Batches/epoch: 25936


============================================================
Epoch 1/1
============================================================
  First step wall time: 1.6s
  [1] batch 0/25936 loss=10.8239 ppl=50205.4 div=3.1996 lr=1.00e-03 | 35.3 samples/s | 9032 tok/s
  [1] batch 50/25936 loss=6.0101 ppl=407.5 div=3.1721 lr=1.00e-03 | 405.1 samples/s | 103717 tok/s
  [1] batch 100/25936 loss=4.9555 ppl=142.0 div=3.0962 lr=1.00e-03 | 455.6 samples/s | 116629 tok/s
  [1] batch 150/25936 loss=4.3287 ppl=75.8 div=2.9604 lr=1.00e-03 | 475.6 samples/s | 121761 tok/s
  [1] batch 200/25936 loss=4.0980 ppl=60.2 div=2.7424 lr=1.00e-03 | 486.4 samples/s | 124511 tok/s
  [1] batch 250/25936 loss=3.9396 ppl=51.4 div=2.4395 lr=1.00e-03 | 493.1 samples/s | 126235 tok/s
  [1] batch 300/25936 loss=3.8087 ppl=45.1 div=2.0406 lr=1.00e-03 | 495.5 samples/s | 126858 tok/s
  [1] batch 350/25936 loss=3.6012 ppl=36.6 div=1.5475 lr=1.00e-03 | 496.3 samples/s | 127046 tok/s
  [1] batch 400/25936 loss=3.5536 ppl=34.9 div=0.9781 lr=9.99e-04 | 496.8 samples/s | 127173 tok/s
  [1] batch 450/25936 loss=3.4344 ppl=31.0 div=0.3449 lr=9.99e-04 | 499.0 samples/s | 127754 tok/s
  [1] batch 500/25936 loss=3.4259 ppl=30.8 div=0.0119 lr=9.99e-04 | 501.1 samples/s | 128291 tok/s
  [1] batch 550/25936 loss=3.2408 ppl=25.6 div=0.0014 lr=9.99e-04 | 502.6 samples/s | 128659 tok/s
  [1] batch 600/25936 loss=3.2256 ppl=25.2 div=0.0013 lr=9.99e-04 | 502.7 samples/s | 128697 tok/s
  [1] batch 650/25936 loss=3.1821 ppl=24.1 div=0.0010 lr=9.98e-04 | 503.2 samples/s | 128813 tok/s
  [1] batch 700/25936 loss=3.1429 ppl=23.2 div=0.0015 lr=9.98e-04 | 504.3 samples/s | 129096 tok/s
  [1] batch 750/25936 loss=3.0669 ppl=21.5 div=0.0008 lr=9.98e-04 | 504.6 samples/s | 129170 tok/s
  [1] batch 800/25936 loss=3.2925 ppl=26.9 div=0.0010 lr=9.98e-04 | 504.3 samples/s | 129088 tok/s
  [1] batch 850/25936 loss=3.1584 ppl=23.5 div=0.0010 lr=9.97e-04 | 503.8 samples/s | 128981 tok/s
  [1] batch 900/25936 loss=3.0659 ppl=21.5 div=0.0023 lr=9.97e-04 | 504.5 samples/s | 129162 tok/s
  [1] batch 950/25936 loss=3.0192 ppl=20.5 div=0.0014 lr=9.97e-04 | 505.1 samples/s | 129294 tok/s
  [1] batch 1000/25936 loss=2.9599 ppl=19.3 div=0.0020 lr=9.96e-04 | 505.4 samples/s | 129372 tok/s
  [1] batch 1050/25936 loss=3.0303 ppl=20.7 div=0.0011 lr=9.96e-04 | 506.3 samples/s | 129611 tok/s
  [1] batch 1100/25936 loss=2.9260 ppl=18.7 div=0.0019 lr=9.96e-04 | 507.0 samples/s | 129803 tok/s
  [1] batch 1150/25936 loss=2.9358 ppl=18.8 div=0.0008 lr=9.95e-04 | 507.8 samples/s | 130003 tok/s
  [1] batch 1200/25936 loss=2.9384 ppl=18.9 div=0.0014 lr=9.95e-04 | 508.5 samples/s | 130180 tok/s
