  [6] 12150/19277 (63%) loss=3.9273 ppl=50.8 lr=4.05e-05 | 23740 tok/s (avg 23561) ETA 30m58s | GPU 1.9/20.1GB | gtok=666845184
  [6] 12200/19277 (63%) loss=3.0165 ppl=20.4 lr=4.05e-05 | 23737 tok/s (avg 23562) ETA 30m45s | GPU 1.9/20.1GB | gtok=667152384
  [6] 12250/19277 (64%) loss=3.6742 ppl=39.4 lr=4.04e-05 | 23736 tok/s (avg 23562) ETA 30m32s | GPU 1.9/20.1GB | gtok=667459584
  [6] 12300/19277 (64%) loss=3.6237 ppl=37.5 lr=4.04e-05 | 23734 tok/s (avg 23563) ETA 30m18s | GPU 1.9/20.1GB | gtok=667766784
  [6] 12350/19277 (64%) loss=3.8296 ppl=46.0 lr=4.04e-05 | 23736 tok/s (avg 23564) ETA 30m05s | GPU 1.9/20.1GB | gtok=668073984
  [6] 12400/19277 (64%) loss=3.5998 ppl=36.6 lr=4.03e-05 | 23596 tok/s (avg 23564) ETA 29m52s | GPU 1.9/20.1GB | gtok=668381184
  [6] 12450/19277 (65%) loss=3.3213 ppl=27.7 lr=4.03e-05 | 23736 tok/s (avg 23564) ETA 29m39s | GPU 1.9/20.1GB | gtok=668688384
  [6] 12500/19277 (65%) loss=3.5471 ppl=34.7 lr=4.02e-05 | 23735 tok/s (avg 23565) ETA 29m26s | GPU 1.9/20.1GB | gtok=668995584
  [6] 12550/19277 (65%) loss=3.7155 ppl=41.1 lr=4.02e-05 | 23735 tok/s (avg 23566) ETA 29m13s | GPU 1.9/20.1GB | gtok=669302784
  [6] 12600/19277 (65%) loss=3.8406 ppl=46.6 lr=4.02e-05 | 23726 tok/s (avg 23566) ETA 29m00s | GPU 1.9/20.1GB | gtok=669609984
  [6] 12650/19277 (66%) loss=3.3246 ppl=27.8 lr=4.01e-05 | 23721 tok/s (avg 23567) ETA 28m47s | GPU 1.9/20.1GB | gtok=669917184
  [6] 12700/19277 (66%) loss=3.3837 ppl=29.5 lr=4.01e-05 | 23734 tok/s (avg 23568) ETA 28m34s | GPU 1.9/20.1GB | gtok=670224384
  [6] 12750/19277 (66%) loss=3.2143 ppl=24.9 lr=4.00e-05 | 23734 tok/s (avg 23568) ETA 28m21s | GPU 1.9/20.1GB | gtok=670531584
  [6] 12800/19277 (66%) loss=2.8951 ppl=18.1 lr=4.00e-05 | 23735 tok/s (avg 23569) ETA 28m08s | GPU 1.9/20.1GB | gtok=670838784
  [6] 12850/19277 (67%) loss=3.6351 ppl=37.9 lr=4.00e-05 | 23736 tok/s (avg 23570) ETA 27m55s | GPU 1.9/20.1GB | gtok=671145984
  [6] 12900/19277 (67%) loss=2.9226 ppl=18.6 lr=3.99e-05 | 23733 tok/s (avg 23570) ETA 27m42s | GPU 1.9/20.1GB | gtok=671453184
  [6] 12950/19277 (67%) loss=3.5643 ppl=35.3 lr=3.99e-05 | 23735 tok/s (avg 23571) ETA 27m28s | GPU 1.9/20.1GB | gtok=671760384
  [6] 13000/19277 (67%) loss=3.8563 ppl=47.3 lr=3.98e-05 | 23732 tok/s (avg 23571) ETA 27m15s | GPU 1.9/20.1GB | gtok=672067584
  [6] 13050/19277 (68%) loss=3.0168 ppl=20.4 lr=3.98e-05 | 23734 tok/s (avg 23572) ETA 27m02s | GPU 1.9/20.1GB | gtok=672374784
  [6] 13100/19277 (68%) loss=3.3703 ppl=29.1 lr=3.98e-05 | 23736 tok/s (avg 23573) ETA 26m49s | GPU 1.9/20.1GB | gtok=672681984
  [6] 13150/19277 (68%) loss=2.7115 ppl=15.1 lr=3.97e-05 | 23735 tok/s (avg 23573) ETA 26m36s | GPU 1.9/20.1GB | gtok=672989184
  [6] 13200/19277 (68%) loss=3.2315 ppl=25.3 lr=3.97e-05 | 23730 tok/s (avg 23574) ETA 26m23s | GPU 1.9/20.1GB | gtok=673296384
  [6] 13250/19277 (69%) loss=3.7407 ppl=42.1 lr=3.96e-05 | 23732 tok/s (avg 23574) ETA 26m10s | GPU 1.9/20.1GB | gtok=673603584
  [6] 13300/19277 (69%) loss=3.0581 ppl=21.3 lr=3.96e-05 | 23734 tok/s (avg 23575) ETA 25m57s | GPU 1.9/20.1GB | gtok=673910784
  [6] 13350/19277 (69%) loss=3.4650 ppl=32.0 lr=3.96e-05 | 23734 tok/s (avg 23576) ETA 25m44s | GPU 1.9/20.1GB | gtok=674217984
  [6] 13400/19277 (70%) loss=3.1624 ppl=23.6 lr=3.95e-05 | 23738 tok/s (avg 23576) ETA 25m31s | GPU 1.9/20.1GB | gtok=674525184
  [6] 13450/19277 (70%) loss=3.2719 ppl=26.4 lr=3.95e-05 | 23734 tok/s (avg 23577) ETA 25m18s | GPU 1.9/20.1GB | gtok=674832384
  [6] 13500/19277 (70%) loss=3.4991 ppl=33.1 lr=3.94e-05 | 23734 tok/s (avg 23577) ETA 25m05s | GPU 1.9/20.1GB | gtok=675139584
  [6] 13550/19277 (70%) loss=2.8863 ppl=17.9 lr=3.94e-05 | 23735 tok/s (avg 23578) ETA 24m52s | GPU 1.9/20.1GB | gtok=675446784
  [6] 13600/19277 (71%) loss=4.0614 ppl=58.1 lr=3.94e-05 | 23733 tok/s (avg 23579) ETA 24m39s | GPU 1.9/20.1GB | gtok=675753984
  [6] 13650/19277 (71%) loss=3.7816 ppl=43.9 lr=3.93e-05 | 23731 tok/s (avg 23579) ETA 24m25s | GPU 1.9/20.1GB | gtok=676061184
  [6] 13700/19277 (71%) loss=3.9687 ppl=52.9 lr=3.93e-05 | 23730 tok/s (avg 23580) ETA 24m12s | GPU 1.9/20.1GB | gtok=676368384
  [6] 13750/19277 (71%) loss=3.5461 ppl=34.7 lr=3.92e-05 | 23731 tok/s (avg 23580) ETA 23m59s | GPU 1.9/20.1GB | gtok=676675584
