  [fact] mode=delta layers=4 lr=3e-5 save_every=1000 spec=checkpoints_v12_phase0/pool1000/fact_retrieval/fact_band_spec.json
+ .venv/bin/python -m v12.train --preset v12_grammar_dyn --stage pretrain --dataset fact --pretrain_sources dclm,fineweb --pretrain_weights 40,60 --substrate grammar@1.0 --registry v12_registry --grow_layers @checkpoints_v12_phase0/pool1000/fact_retrieval/fact_band_spec.json --layer_head_budget 16 --head_gate --write_phase_address --freeze_layers base --attach_mode sequential --stage_loss ce_fact --fused_ce --fact_value_pool 1000 --gen_every 0 --gen_prompt Record: bofim means gold. Record: kaner means silver. Query: bofim means --batch_size 8 --seq_len 512 --lr 3e-5 --weight_decay 0.01 --token_budget 40000000 --checkpoint_dir checkpoints_v12_phase0/pool1000/fact_retrieval --save_every_steps 1000 --log_dir logs
[Discord] Webhook configured -- notifications enabled
Wall clock start: 2026-07-30 04:20:05
============================================================
  V12: PAM with new memory dynamics
  Preset: v12_grammar_dyn | Stage: pretrain | Dataset: fact
============================================================

Stage loss: ce_fact — Answer-masked CE + gate-surprisal + hard-negative contrastive (fact stage).
  overrides applied: {'gate_surprisal_lambda': 0.1, 'gate_surprisal_tau': 0.5, 'gate_surprisal_sign': 1.0, 'fact_contrastive_lambda': 0.1, 'fact_contrastive_tau': 2.0}

Config: {'vocab_size': 50261, 'dim': 384, 'n_heads': 16, 'head_dim': 64, 'n_layers': 4, 'expand': 3, 'dropout': 0.1, 'max_seq_len': 512, 'use_learned_pos': False, 'use_rope': True, 'use_gsp': True, 'fused_qkv': True, 'qk_norm': False, 'tie_weights': True, 'gradient_checkpointing': True, 'activation': 'swish', 'chunk_size': 256, 'decay_mode': 'head', 'write_mode': 'additive', 'n_states': 3, 'delta_chunk': 64, 'state_dt_spread': 2.0, 'base_dt_bias': -4.0, 'gate_content_aware': True, 'protect_gate_bias': -3.0, 'routing_content_aware': False, 'state_compete': False, 'phase_init': 'zero', 'route_balance_lambda': 0.0, 'aux_loss_weight': 1.0, 'fused_e3': True, 'recompute_pam_chunks': False, 'gamma_floor': 0.0, 'gate_surprisal_lambda': 0.1, 'gate_surprisal_tau': 0.5, 'gate_surprisal_sign': 1.0, 'fact_contrastive_lambda': 0.1, 'fact_contrastive_tau': 2.0, 'vault_state': False, 'vault_state_idx': 0, 'write_phase_address': True, 'write_phase_key_conditional': False, 'delta_solve_mode': 'backsub', 'vault_norm_bound': 0.0, 'module_adapter_rank': 0, 'head_gate': True, 'head_gate_l0_lambda': 0.001, 'head_gate_init_logalpha': 3.0, 'layer_specs': None}
Memory dynamics: decay_mode=head, write_mode=additive, n_states=3, chunk_size=256
Batch size: 8, Epochs: 10, LR: 3e-05
Token budget: 40,000,000

Loading fact (seq_len=512)...
[fact_data] train=78,125 val=512 examples, seq_len=512, templates=12 (train), value_pool=1000 (train), vocab=50261
Train batches: 9766, Val batches: 64
[substrate] WARNING: substrate vocab_size=50257 != tokenizer/preset vocab_size=50261
[substrate] grammar@1.0 -> ['grammar@1.0'] (4 frozen base layers)

Model parameters: {'embedding (tied)': 38597376, 'blocks': 23388692, 'norms': 768, 'lm_head': 296064, 'total': 62282900}
Total: 62,282,900 (62.3M)
[M4 grow] +4 layers [4, 5, 6, 7] on base of 4 (skills=['fact_retrieval', 'fact_retrieval', 'fact_retrieval', 'fact_retrieval'], attach_mode=sequential); total layers=8
[M4 freeze] froze blocks [0, 1, 2, 3]; trainable params=62,233,608. (requires_grad=False => excluded from optimizer, no wd drift)
Param groups: 56 tensors (62,214,912) with wd, 57 tensors (18,696) without
fused_ce enabled (chunked linear+CE; logits never materialized)

Training on cuda
Parameters: {'embedding (tied)': 38597376, 'blocks': 46728092, 'norms': 768, 'lm_head': 296064, 'total': 85622300}
Total: 85,622,300 (85.6M)
Epochs: 1..9999, Batches/epoch: 9766
Periodic checkpoint: every 1000 steps -> latest.pt


============================================================
Epoch 1/9999
============================================================
  [1] 0/9766 (0%) loss=10.0289 ppl=22672.5 lr=3.00e-08 | 1110 tok/s (avg 1110) ETA 0m00s | GPU 0.9/3.3GB | gtok=4096
  [1] 50/9766 (1%) loss=10.7414 ppl=46231.0 lr=1.53e-06 | 1373 tok/s (avg 1366) ETA 485m24s | GPU 0.9/3.8GB | gtok=208896
  [1] 100/9766 (1%) loss=10.1830 ppl=26450.6 lr=3.03e-06 | 1360 tok/s (avg 1363) ETA 484m02s | GPU 0.9/3.8GB | gtok=413696
  [1] 150/9766 (2%) loss=10.1040 ppl=24439.5 lr=4.53e-06 | 1362 tok/s (avg 1363) ETA 481m41s | GPU 0.9/3.8GB | gtok=618496
  [1] 200/9766 (2%) loss=9.7794 ppl=17666.2 lr=6.03e-06 | 1362 tok/s (avg 1362) ETA 479m14s | GPU 0.9/3.8GB | gtok=823296
  [1] 250/9766 (3%) loss=8.9748 ppl=7901.6 lr=7.53e-06 | 1359 tok/s (avg 1362) ETA 476m59s | GPU 0.9/3.8GB | gtok=1028096
  [1] 300/9766 (3%) loss=8.4883 ppl=4857.5 lr=9.03e-06 | 1357 tok/s (avg 1361) ETA 474m44s | GPU 0.9/3.8GB | gtok=1232896
  [1] 350/9766 (4%) loss=8.3966 ppl=4431.8 lr=1.05e-05 | 1365 tok/s (avg 1362) ETA 472m01s | GPU 0.9/3.8GB | gtok=1437696
  [1] 400/9766 (4%) loss=7.9910 ppl=2954.2 lr=1.20e-05 | 1359 tok/s (avg 1361) ETA 469m36s | GPU 0.9/3.8GB | gtok=1642496
  [1] 450/9766 (5%) loss=7.2840 ppl=1456.8 lr=1.35e-05 | 1350 tok/s (avg 1360) ETA 467m32s | GPU 0.9/3.8GB | gtok=1847296
  [1] 500/9766 (5%) loss=7.6382 ppl=2076.0 lr=1.50e-05 | 1353 tok/s (avg 1359) ETA 465m17s | GPU 0.9/3.8GB | gtok=2052096
  [1] 550/9766 (6%) loss=6.9099 ppl=1002.1 lr=1.65e-05 | 1363 tok/s (avg 1360) ETA 462m40s | GPU 0.9/3.8GB | gtok=2256896
  [1] 600/9766 (6%) loss=6.8013 ppl=899.0 lr=1.80e-05 | 1371 tok/s (avg 1361) ETA 459m50s | GPU 0.9/3.8GB | gtok=2461696
  [1] 650/9766 (7%) loss=6.9040 ppl=996.2 lr=1.95e-05 | 1355 tok/s (avg 1360) ETA 457m29s | GPU 0.9/3.8GB | gtok=2666496
  [1] 700/9766 (7%) loss=6.5945 ppl=731.0 lr=2.10e-05 | 1359 tok/s (avg 1360) ETA 455m01s | GPU 0.9/3.8GB | gtok=2871296
  [1] 750/9766 (8%) loss=6.5346 ppl=688.5 lr=2.25e-05 | 1362 tok/s (avg 1360) ETA 452m28s | GPU 0.9/3.8GB | gtok=3076096
  [1] 800/9766 (8%) loss=6.0653 ppl=430.7 lr=2.40e-05 | 1360 tok/s (avg 1360) ETA 449m57s | GPU 0.9/3.8GB | gtok=3280896
  [1] 850/9766 (9%) loss=6.0523 ppl=425.1 lr=2.55e-05 | 1362 tok/s (avg 1360) ETA 447m25s | GPU 0.9/3.8GB | gtok=3485696
  [1] 900/9766 (9%) loss=6.2945 ppl=541.6 lr=2.70e-05 | 1353 tok/s (avg 1360) ETA 445m02s | GPU 0.9/3.8GB | gtok=3690496
  [1] 950/9766 (10%) loss=6.0664 ppl=431.1 lr=2.85e-05 | 1364 tok/s (avg 1360) ETA 442m28s | GPU 0.9/3.8GB | gtok=3895296
Saved checkpoint: checkpoints_v12_phase0/pool1000/fact_retrieval/latest.pt
  [checkpoint @ step 1000, 4,096,000 tok]
  [1] 1000/9766 (10%) loss=6.0741 ppl=434.5 lr=3.00e-05 | 1357 tok/s (avg 1360) ETA 440m00s | GPU 0.9/3.8GB | gtok=4100096
  [1] 1050/9766 (11%) loss=5.0717 ppl=159.5 lr=3.00e-05 | 1361 tok/s (avg 1360) ETA 437m28s | GPU 0.9/3.8GB | gtok=4304896
  [1] 1100/9766 (11%) loss=5.7323 ppl=308.7 lr=3.00e-05 | 1361 tok/s (avg 1360) ETA 434m57s | GPU 0.9/3.8GB | gtok=4509696
  [1] 1150/9766 (12%) loss=5.4814 ppl=240.2 lr=3.00e-05 | 1354 tok/s (avg 1360) ETA 432m31s | GPU 0.9/3.8GB | gtok=4714496
  [1] 1200/9766 (12%) loss=5.0740 ppl=159.8 lr=3.00e-05 | 1365 tok/s (avg 1360) ETA 429m56s | GPU 0.9/3.8GB | gtok=4919296
  [1] 1250/9766 (13%) loss=4.8709 ppl=130.4 lr=3.00e-05 | 1356 tok/s (avg 1360) ETA 427m29s | GPU 0.9/3.8GB | gtok=5124096
  [1] 1300/9766 (13%) loss=5.2046 ppl=182.1 lr=2.99e-05 | 1352 tok/s (avg 1360) ETA 425m03s | GPU 0.9/3.8GB | gtok=5328896
  [1] 1350/9766 (14%) loss=4.9199 ppl=137.0 lr=2.99e-05 | 1363 tok/s (avg 1360) ETA 422m30s | GPU 0.9/3.8GB | gtok=5533696
  [1] 1400/9766 (14%) loss=5.2246 ppl=185.8 lr=2.99e-05 | 1355 tok/s (avg 1359) ETA 420m02s | GPU 0.9/3.8GB | gtok=5738496
  [1] 1450/9766 (15%) loss=4.4960 ppl=89.7 lr=2.98e-05 | 1361 tok/s (avg 1360) ETA 417m31s | GPU 0.9/3.8GB | gtok=5943296
  [1] 1500/9766 (15%) loss=5.1638 ppl=174.8 lr=2.98e-05 | 1357 tok/s (avg 1359) ETA 415m02s | GPU 0.9/3.8GB | gtok=6148096
  [1] 1550/9766 (16%) loss=4.8796 ppl=131.6 lr=2.98e-05 | 1360 tok/s (avg 1359) ETA 412m31s | GPU 0.9/3.8GB | gtok=6352896
  [1] 1600/9766 (16%) loss=5.2131 ppl=183.7 lr=2.97e-05 | 1361 tok/s (avg 1359) ETA 410m00s | GPU 0.9/3.8GB | gtok=6557696
  [1] 1650/9766 (17%) loss=4.3031 ppl=73.9 lr=2.97e-05 | 1356 tok/s (avg 1359) ETA 407m31s | GPU 0.9/3.8GB | gtok=6762496
  [1] 1700/9766 (17%) loss=4.9454 ppl=140.5 lr=2.96e-05 | 1355 tok/s (avg 1359) ETA 405m03s | GPU 0.9/3.8GB | gtok=6967296
  [1] 1750/9766 (18%) loss=5.0979 ppl=163.7 lr=2.96e-05 | 1359 tok/s (avg 1359) ETA 402m32s | GPU 0.9/3.8GB | gtok=7172096
  [1] 1800/9766 (18%) loss=4.3369 ppl=76.5 lr=2.95e-05 | 1361 tok/s (avg 1359) ETA 400m00s | GPU 0.9/3.8GB | gtok=7376896
  [1] 1850/9766 (19%) loss=4.0195 ppl=55.7 lr=2.94e-05 | 1357 tok/s (avg 1359) ETA 397m31s | GPU 0.9/3.8GB | gtok=7581696
  [1] 1900/9766 (19%) loss=4.4647 ppl=86.9 lr=2.94e-05 | 1370 tok/s (avg 1360) ETA 394m55s | GPU 0.9/3.8GB | gtok=7786496
  [1] 1950/9766 (20%) loss=4.1280 ppl=62.1 lr=2.93e-05 | 1357 tok/s (avg 1359) ETA 392m26s | GPU 0.9/3.8GB | gtok=7991296
Saved checkpoint: checkpoints_v12_phase0/pool1000/fact_retrieval/latest.pt
  [checkpoint @ step 2000, 8,192,000 tok]
  [1] 2000/9766 (20%) loss=4.6478 ppl=104.4 lr=2.92e-05 | 1350 tok/s (avg 1359) ETA 389m59s | GPU 0.9/3.8GB | gtok=8196096
  [1] 2050/9766 (21%) loss=4.2665 ppl=71.3 lr=2.92e-05 | 1367 tok/s (avg 1359) ETA 387m25s | GPU 0.9/3.8GB | gtok=8400896
  [1] 2100/9766 (22%) loss=4.3028 ppl=73.9 lr=2.91e-05 | 1359 tok/s (avg 1359) ETA 384m55s | GPU 0.9/3.8GB | gtok=8605696
  [1] 2150/9766 (22%) loss=4.2113 ppl=67.4 lr=2.90e-05 | 1364 tok/s (avg 1359) ETA 382m23s | GPU 0.9/3.8GB | gtok=8810496
  [1] 2200/9766 (23%) loss=4.3839 ppl=80.2 lr=2.89e-05 | 1356 tok/s (avg 1359) ETA 379m53s | GPU 0.9/3.8GB | gtok=9015296
  [1] 2250/9766 (23%) loss=4.3767 ppl=79.6 lr=2.88e-05 | 1356 tok/s (avg 1359) ETA 377m24s | GPU 0.9/3.8GB | gtok=9220096
  [1] 2300/9766 (24%) loss=4.7804 ppl=119.1 lr=2.87e-05 | 1357 tok/s (avg 1359) ETA 374m54s | GPU 0.9/3.8GB | gtok=9424896
  [1] 2350/9766 (24%) loss=4.4791 ppl=88.2 lr=2.86e-05 | 1358 tok/s (avg 1359) ETA 372m24s | GPU 0.9/3.8GB | gtok=9629696
  [1] 2400/9766 (25%) loss=4.5494 ppl=94.6 lr=2.85e-05 | 1366 tok/s (avg 1359) ETA 369m51s | GPU 0.9/3.8GB | gtok=9834496
  [1] 2450/9766 (25%) loss=3.4343 ppl=31.0 lr=2.84e-05 | 1361 tok/s (avg 1359) ETA 367m20s | GPU 0.9/3.8GB | gtok=10039296
  [1] 2500/9766 (26%) loss=3.9928 ppl=54.2 lr=2.83e-05 | 1364 tok/s (avg 1360) ETA 364m48s | GPU 0.9/3.8GB | gtok=10244096
  [1] 2550/9766 (26%) loss=4.4892 ppl=89.1 lr=2.82e-05 | 1359 tok/s (avg 1360) ETA 362m17s | GPU 0.9/3.8GB | gtok=10448896
  [1] 2600/9766 (27%) loss=4.8605 ppl=129.1 lr=2.81e-05 | 1356 tok/s (avg 1359) ETA 359m48s | GPU 0.9/3.8GB | gtok=10653696
  [1] 2650/9766 (27%) loss=4.7560 ppl=116.3 lr=2.79e-05 | 1357 tok/s (avg 1359) ETA 357m18s | GPU 0.9/3.8GB | gtok=10858496
  [1] 2700/9766 (28%) loss=4.3647 ppl=78.6 lr=2.78e-05 | 1363 tok/s (avg 1359) ETA 354m46s | GPU 0.9/3.8GB | gtok=11063296
  [1] 2750/9766 (28%) loss=4.5177 ppl=91.6 lr=2.77e-05 | 1368 tok/s (avg 1360) ETA 352m13s | GPU 0.9/3.8GB | gtok=11268096
  [1] 2800/9766 (29%) loss=4.7401 ppl=114.4 lr=2.76e-05 | 1358 tok/s (avg 1360) ETA 349m43s | GPU 0.9/3.8GB | gtok=11472896
  [1] 2850/9766 (29%) loss=4.4839 ppl=88.6 lr=2.74e-05 | 1365 tok/s (avg 1360) ETA 347m11s | GPU 0.9/3.8GB | gtok=11677696
  [1] 2900/9766 (30%) loss=4.2857 ppl=72.7 lr=2.73e-05 | 1352 tok/s (avg 1360) ETA 344m42s | GPU 0.9/3.8GB | gtok=11882496
  [1] 2950/9766 (30%) loss=3.4861 ppl=32.7 lr=2.71e-05 | 1359 tok/s (avg 1360) ETA 342m12s | GPU 0.9/3.8GB | gtok=12087296
Saved checkpoint: checkpoints_v12_phase0/pool1000/fact_retrieval/latest.pt
  [checkpoint @ step 3000, 12,288,000 tok]
  [1] 3000/9766 (31%) loss=3.8001 ppl=44.7 lr=2.70e-05 | 1350 tok/s (avg 1359) ETA 339m44s | GPU 0.9/3.8GB | gtok=12292096
  [1] 3050/9766 (31%) loss=4.7096 ppl=111.0 lr=2.69e-05 | 1357 tok/s (avg 1359) ETA 337m14s | GPU 0.9/3.8GB | gtok=12496896
  [1] 3100/9766 (32%) loss=4.5429 ppl=94.0 lr=2.67e-05 | 1370 tok/s (avg 1359) ETA 334m41s | GPU 0.9/3.8GB | gtok=12701696
  [1] 3150/9766 (32%) loss=4.3675 ppl=78.9 lr=2.65e-05 | 1358 tok/s (avg 1359) ETA 332m10s | GPU 0.9/3.8GB | gtok=12906496
  [1] 3200/9766 (33%) loss=4.3460 ppl=77.2 lr=2.64e-05 | 1359 tok/s (avg 1359) ETA 329m40s | GPU 0.9/3.8GB | gtok=13111296
  [1] 3250/9766 (33%) loss=3.5688 ppl=35.5 lr=2.62e-05 | 1362 tok/s (avg 1359) ETA 327m09s | GPU 0.9/3.8GB | gtok=13316096
  [1] 3300/9766 (34%) loss=3.6816 ppl=39.7 lr=2.61e-05 | 1358 tok/s (avg 1359) ETA 324m38s | GPU 0.9/3.8GB | gtok=13520896
  [1] 3350/9766 (34%) loss=4.2604 ppl=70.8 lr=2.59e-05 | 1361 tok/s (avg 1359) ETA 322m07s | GPU 0.9/3.8GB | gtok=13725696
  [1] 3400/9766 (35%) loss=3.7733 ppl=43.5 lr=2.57e-05 | 1360 tok/s (avg 1359) ETA 319m37s | GPU 0.9/3.8GB | gtok=13930496
  [1] 3450/9766 (35%) loss=4.6191 ppl=101.4 lr=2.56e-05 | 1356 tok/s (avg 1359) ETA 317m07s | GPU 0.9/3.8GB | gtok=14135296
