######## ARM pool200 ########
=== train pool200 pool=200 freeze=0 loss=ce_fact requires=grammar@>=1.0:prelayer -> logs/v12_phase0/pool200_pool200.log
  [fact] mode=delta layers=4 lr=3e-5 save_every=1000 spec=checkpoints_v12_phase0/pool200/fact_retrieval/fact_band_spec.json
+ .venv/bin/python -m v12.train --preset v12_grammar_dyn --stage pretrain --dataset fact --pretrain_sources dclm,fineweb --pretrain_weights 40,60 --substrate grammar@1.0 --registry v12_registry --grow_layers @checkpoints_v12_phase0/pool200/fact_retrieval/fact_band_spec.json --layer_head_budget 16 --head_gate --write_phase_address --freeze_layers base --attach_mode sequential --stage_loss ce_fact --fused_ce --fact_value_pool 200 --gen_every 0 --gen_prompt Record: bofim means gold. Record: kaner means silver. Query: bofim means --batch_size 8 --seq_len 512 --lr 3e-5 --weight_decay 0.01 --token_budget 40000000 --checkpoint_dir checkpoints_v12_phase0/pool200/fact_retrieval --save_every_steps 1000
[Discord] Webhook configured -- notifications enabled
Wall clock start: 2026-07-29 11:09:37
============================================================
  V12: PAM with new memory dynamics
  Preset: v12_grammar_dyn | Stage: pretrain | Dataset: fact
============================================================

Stage loss: ce_fact — Answer-masked CE + gate-surprisal + hard-negative contrastive (fact stage).
  overrides applied: {'gate_surprisal_lambda': 0.1, 'gate_surprisal_tau': 0.5, 'gate_surprisal_sign': 1.0, 'fact_contrastive_lambda': 0.1, 'fact_contrastive_tau': 2.0}

Config: {'vocab_size': 50261, 'dim': 384, 'n_heads': 16, 'head_dim': 64, 'n_layers': 4, 'expand': 3, 'dropout': 0.1, 'max_seq_len': 512, 'use_learned_pos': False, 'use_rope': True, 'use_gsp': True, 'fused_qkv': True, 'qk_norm': False, 'tie_weights': True, 'gradient_checkpointing': True, 'activation': 'swish', 'chunk_size': 256, 'decay_mode': 'head', 'write_mode': 'additive', 'n_states': 3, 'delta_chunk': 64, 'state_dt_spread': 2.0, 'base_dt_bias': -4.0, 'gate_content_aware': True, 'protect_gate_bias': -3.0, 'routing_content_aware': False, 'state_compete': False, 'phase_init': 'zero', 'route_balance_lambda': 0.0, 'aux_loss_weight': 1.0, 'fused_e3': True, 'recompute_pam_chunks': False, 'gamma_floor': 0.0, 'gate_surprisal_lambda': 0.1, 'gate_surprisal_tau': 0.5, 'gate_surprisal_sign': 1.0, 'fact_contrastive_lambda': 0.1, 'fact_contrastive_tau': 2.0, 'vault_state': False, 'vault_state_idx': 0, 'write_phase_address': True, 'write_phase_key_conditional': False, 'delta_solve_mode': 'backsub', 'vault_norm_bound': 0.0, 'module_adapter_rank': 0, 'head_gate': True, 'head_gate_l0_lambda': 0.001, 'head_gate_init_logalpha': 3.0, 'layer_specs': None}
Memory dynamics: decay_mode=head, write_mode=additive, n_states=3, chunk_size=256
Batch size: 8, Epochs: 10, LR: 3e-05
Token budget: 40,000,000

Loading fact (seq_len=512)...
[fact_data] train=78,125 val=512 examples, seq_len=512, templates=12 (train), value_pool=200 (train), vocab=50261
Train batches: 9766, Val batches: 64
[substrate] WARNING: substrate vocab_size=50257 != tokenizer/preset vocab_size=50261
[substrate] grammar@1.0 -> ['grammar@1.0'] (4 frozen base layers)

Model parameters: {'embedding (tied)': 38597376, 'blocks': 23388692, 'norms': 768, 'lm_head': 296064, 'total': 62282900}
Total: 62,282,900 (62.3M)
[M4 grow] +4 layers [4, 5, 6, 7] on base of 4 (skills=['fact_retrieval', 'fact_retrieval', 'fact_retrieval', 'fact_retrieval'], attach_mode=sequential); total layers=8
[M4 freeze] froze blocks [0, 1, 2, 3]; trainable params=62,233,608. (requires_grad=False => excluded from optimizer, no wd drift)
Param groups: 56 tensors (62,214,912) with wd, 57 tensors (18,696) without
fused_ce enabled (chunked linear+CE; logits never materialized)

Training on cuda
Parameters: {'embedding (tied)': 38597376, 'blocks': 46728092, 'norms': 768, 'lm_head': 296064, 'total': 85622300}
Total: 85,622,300 (85.6M)
Epochs: 1..9999, Batches/epoch: 9766
Periodic checkpoint: every 1000 steps -> latest.pt


============================================================
Epoch 1/9999
============================================================
  [1] 0/9766 (0%) loss=10.3602 ppl=31576.1 lr=3.00e-08 | 1050 tok/s (avg 1050) ETA 0m00s | GPU 0.9/3.3GB | gtok=4096
  [1] 50/9766 (1%) loss=10.1758 ppl=26259.5 lr=1.53e-06 | 1251 tok/s (avg 1246) ETA 532m11s | GPU 0.9/3.8GB | gtok=208896
  [1] 100/9766 (1%) loss=10.2232 ppl=27535.0 lr=3.03e-06 | 1247 tok/s (avg 1246) ETA 529m23s | GPU 0.9/3.8GB | gtok=413696
  [1] 150/9766 (2%) loss=9.8712 ppl=19364.1 lr=4.53e-06 | 1251 tok/s (avg 1248) ETA 525m57s | GPU 0.9/3.8GB | gtok=618496
  [1] 200/9766 (2%) loss=8.8281 ppl=6823.5 lr=6.03e-06 | 1225 tok/s (avg 1242) ETA 525m42s | GPU 0.9/3.8GB | gtok=823296
  [1] 250/9766 (3%) loss=8.8021 ppl=6648.1 lr=7.53e-06 | 1242 tok/s (avg 1242) ETA 522m59s | GPU 0.9/3.8GB | gtok=1028096
  [1] 300/9766 (3%) loss=7.6016 ppl=2001.3 lr=9.03e-06 | 1245 tok/s (avg 1242) ETA 520m02s | GPU 0.9/3.8GB | gtok=1232896
  [1] 350/9766 (4%) loss=7.1697 ppl=1299.5 lr=1.05e-05 | 1225 tok/s (avg 1240) ETA 518m20s | GPU 0.9/3.8GB | gtok=1437696
  [1] 400/9766 (4%) loss=6.6819 ppl=797.9 lr=1.20e-05 | 1228 tok/s (avg 1238) ETA 516m14s | GPU 0.9/3.8GB | gtok=1642496
  [1] 450/9766 (5%) loss=6.0299 ppl=415.7 lr=1.35e-05 | 1283 tok/s (avg 1243) ETA 511m29s | GPU 0.9/3.8GB | gtok=1847296
  [1] 500/9766 (5%) loss=5.5992 ppl=270.2 lr=1.50e-05 | 1300 tok/s (avg 1249) ETA 506m30s | GPU 0.9/3.8GB | gtok=2052096
  [1] 550/9766 (6%) loss=5.5436 ppl=255.6 lr=1.65e-05 | 1323 tok/s (avg 1255) ETA 501m13s | GPU 0.9/3.8GB | gtok=2256896
  [1] 600/9766 (6%) loss=5.3974 ppl=220.8 lr=1.80e-05 | 1217 tok/s (avg 1252) ETA 499m47s | GPU 0.9/3.8GB | gtok=2461696
  [1] 650/9766 (7%) loss=5.2188 ppl=184.7 lr=1.95e-05 | 1234 tok/s (avg 1250) ETA 497m38s | GPU 0.9/3.8GB | gtok=2666496
  [1] 700/9766 (7%) loss=5.1076 ppl=165.3 lr=2.10e-05 | 1247 tok/s (avg 1250) ETA 495m00s | GPU 0.9/3.8GB | gtok=2871296
  [1] 750/9766 (8%) loss=4.9029 ppl=134.7 lr=2.25e-05 | 1268 tok/s (avg 1251) ETA 491m48s | GPU 0.9/3.8GB | gtok=3076096
  [1] 800/9766 (8%) loss=4.6894 ppl=108.8 lr=2.40e-05 | 1259 tok/s (avg 1252) ETA 488m53s | GPU 0.9/3.8GB | gtok=3280896
  [1] 850/9766 (9%) loss=4.7406 ppl=114.5 lr=2.55e-05 | 1275 tok/s (avg 1253) ETA 485m39s | GPU 0.9/3.8GB | gtok=3485696
  [1] 900/9766 (9%) loss=4.9543 ppl=141.8 lr=2.70e-05 | 1265 tok/s (avg 1254) ETA 482m40s | GPU 0.9/3.8GB | gtok=3690496
  [1] 950/9766 (10%) loss=4.6928 ppl=109.2 lr=2.85e-05 | 1244 tok/s (avg 1253) ETA 480m09s | GPU 0.9/3.8GB | gtok=3895296
Saved checkpoint: checkpoints_v12_phase0/pool200/fact_retrieval/latest.pt
  [checkpoint @ step 1000, 4,096,000 tok]
  [1] 1000/9766 (10%) loss=4.5369 ppl=93.4 lr=3.00e-05 | 1228 tok/s (avg 1252) ETA 477m54s | GPU 0.9/3.8GB | gtok=4100096
  [1] 1050/9766 (11%) loss=4.3157 ppl=74.9 lr=3.00e-05 | 1167 tok/s (avg 1248) ETA 476m50s | GPU 0.9/3.8GB | gtok=4304896
  [1] 1100/9766 (11%) loss=4.2852 ppl=72.6 lr=3.00e-05 | 1132 tok/s (avg 1242) ETA 476m18s | GPU 0.9/3.8GB | gtok=4509696
  [1] 1150/9766 (12%) loss=3.9446 ppl=51.7 lr=3.00e-05 | 1129 tok/s (avg 1237) ETA 475m37s | GPU 0.9/3.8GB | gtok=4714496
