[2026-03-09 08:49:57] Wall clock start: 2026-03-09 08:49:57
[2026-03-09 08:49:57] ============================================================
[2026-03-09 08:49:57] V6 Phase-First Language Model
[2026-03-09 08:49:57] ============================================================
[2026-03-09 08:49:57] Size: tiny
[2026-03-09 08:49:57] Complex dim: 64 (= 128 real values/position)
[2026-03-09 08:49:57] SSM state dim: 128 (multi-timescale: fast/medium/slow)
[2026-03-09 08:49:57] Layers: 4
[2026-03-09 08:49:57] Banks: 2 (semantic + context)
[2026-03-09 08:49:57] Working memory slots: 16 (top-k=8, decay=0.95)
[2026-03-09 08:49:57] Internal memory slots: 32 (top-k=8)
[2026-03-09 08:49:57] PhaseAttention: DISABLED (attention-free)
[2026-03-09 08:49:57] Diversity loss: weight=0.1, floor=0.02, margin=0.3
[2026-03-09 08:49:57] Epochs: 1
[2026-03-09 08:49:57] Mid-epoch generation: every 5000 batches, prompt="Once upon a time, there was a little"
[2026-03-09 08:49:57] Max samples: 9999999
[2026-03-09 08:49:57] Log file: logs/v6/fulldata_tiny_model_20260309_084956_f960859/v6_train_tiny.log
[2026-03-09 08:49:57] Checkpoint dir: /tmp/v6_fulldata_tiny_model
[2026-03-09 08:49:57] ============================================================
[2026-03-09 08:50:00] Loading TinyStories (max_samples=9999999)...
[2026-03-09 08:50:15] Tokenizing 2119489 texts...
[2026-03-09 08:58:42] Total tokens: 473,992,006
[2026-03-09 08:58:42] Train chunks: 1659894, Val chunks: 184432
[2026-03-09 08:58:42] Init strategy: orthogonal (seed: 42)

[2026-03-09 08:58:43] Training on cuda
[2026-03-09 08:58:43] Parameters: {'embed (tied w/ output)': 6432896, 'banks': 394752, 'couplers': 133640, 'attention': 0, 'ssm': 199748, 'working_memory': 24769, 'internal_memory': 16448, 'persistent_reader': 8256, 'expert_reader': 8256, 'memory_fusion': 75785, 'lm_head_proj': 8384, 'total': 7302934}
[2026-03-09 08:58:43] Total: 7,302,934 (7.3M)
[2026-03-09 08:58:43] Epochs: 1..1, Batches/epoch: 25936


[2026-03-09 08:58:43] ============================================================
[2026-03-09 08:58:43] Epoch 1/1
[2026-03-09 08:58:43] ============================================================
[2026-03-09 08:58:44]   First step wall time: 1.6s
[2026-03-09 08:58:44]   [1] batch 0/25936 loss=10.8428 ppl=51162.1 div=3.1996 lr=1.00e-03 | 36.4 samples/s | 9314 tok/s
[2026-03-09 08:58:51]   [1] batch 50/25936 loss=6.0217 ppl=412.3 div=3.1722 lr=1.00e-03 | 405.6 samples/s | 103828 tok/s
[2026-03-09 08:58:57]   [1] batch 100/25936 loss=4.9605 ppl=142.7 div=3.0952 lr=1.00e-03 | 451.6 samples/s | 115600 tok/s
[2026-03-09 08:59:03]   [1] batch 150/25936 loss=4.3941 ppl=81.0 div=2.9586 lr=1.00e-03 | 469.6 samples/s | 120230 tok/s
[2026-03-09 08:59:09]   [1] batch 200/25936 loss=4.0423 ppl=57.0 div=2.7428 lr=1.00e-03 | 479.2 samples/s | 122666 tok/s
[2026-03-09 08:59:16]   [1] batch 250/25936 loss=3.9456 ppl=51.7 div=2.4411 lr=1.00e-03 | 485.1 samples/s | 124178 tok/s
[2026-03-09 08:59:22]   [1] batch 300/25936 loss=3.6692 ppl=39.2 div=2.0384 lr=1.00e-03 | 489.2 samples/s | 125230 tok/s
[2026-03-09 08:59:28]   [1] batch 350/25936 loss=3.6411 ppl=38.1 div=1.5437 lr=1.00e-03 | 491.9 samples/s | 125923 tok/s
[2026-03-09 08:59:34]   [1] batch 400/25936 loss=3.5287 ppl=34.1 div=0.9931 lr=9.99e-04 | 494.1 samples/s | 126501 tok/s
[2026-03-09 08:59:41]   [1] batch 450/25936 loss=3.4152 ppl=30.4 div=0.3713 lr=9.99e-04 | 495.9 samples/s | 126956 tok/s
[2026-03-09 08:59:47]   [1] batch 500/25936 loss=3.2942 ppl=27.0 div=0.0156 lr=9.99e-04 | 497.4 samples/s | 127334 tok/s
[2026-03-09 08:59:53]   [1] batch 550/25936 loss=3.3170 ppl=27.6 div=0.0013 lr=9.99e-04 | 498.6 samples/s | 127642 tok/s
[2026-03-09 09:00:00]   [1] batch 600/25936 loss=3.1808 ppl=24.1 div=0.0028 lr=9.99e-04 | 499.6 samples/s | 127894 tok/s
[2026-03-09 09:00:06]   [1] batch 650/25936 loss=3.2201 ppl=25.0 div=0.0011 lr=9.98e-04 | 500.4 samples/s | 128108 tok/s
[2026-03-09 09:00:12]   [1] batch 700/25936 loss=3.1084 ppl=22.4 div=0.0030 lr=9.98e-04 | 501.1 samples/s | 128271 tok/s
[2026-03-09 09:00:18]   [1] batch 750/25936 loss=2.9756 ppl=19.6 div=0.0023 lr=9.98e-04 | 501.7 samples/s | 128424 tok/s
[2026-03-09 09:00:25]   [1] batch 800/25936 loss=3.0510 ppl=21.1 div=0.0018 lr=9.98e-04 | 502.2 samples/s | 128554 tok/s
[2026-03-09 09:00:31]   [1] batch 850/25936 loss=2.9385 ppl=18.9 div=0.0017 lr=9.97e-04 | 502.6 samples/s | 128667 tok/s
[2026-03-09 09:00:37]   [1] batch 900/25936 loss=2.8713 ppl=17.7 div=0.0024 lr=9.97e-04 | 503.0 samples/s | 128768 tok/s
[2026-03-09 09:00:44]   [1] batch 950/25936 loss=2.8368 ppl=17.1 div=0.0022 lr=9.97e-04 | 503.1 samples/s | 128781 tok/s
[2026-03-09 09:00:50]   [1] batch 1000/25936 loss=2.8750 ppl=17.7 div=0.0011 lr=9.96e-04 | 503.4 samples/s | 128869 tok/s
[2026-03-09 09:00:56]   [1] batch 1050/25936 loss=2.8129 ppl=16.7 div=0.0015 lr=9.96e-04 | 503.7 samples/s | 128947 tok/s
[2026-03-09 09:01:02]   [1] batch 1100/25936 loss=2.8423 ppl=17.2 div=0.0021 lr=9.96e-04 | 504.0 samples/s | 129016 tok/s
[2026-03-09 09:01:09]   [1] batch 1150/25936 loss=2.7051 ppl=15.0 div=0.0012 lr=9.95e-04 | 504.2 samples/s | 129082 tok/s
[2026-03-09 09:01:15]   [1] batch 1200/25936 loss=2.7738 ppl=16.0 div=0.0025 lr=9.95e-04 | 504.4 samples/s | 129135 tok/s
[2026-03-09 09:01:21]   [1] batch 1250/25936 loss=2.7714 ppl=16.0 div=0.0013 lr=9.94e-04 | 504.7 samples/s | 129190 tok/s
[2026-03-09 09:01:27]   [1] batch 1300/25936 loss=2.6436 ppl=14.1 div=0.0020 lr=9.94e-04 | 504.9 samples/s | 129244 tok/s
[2026-03-09 09:01:34]   [1] batch 1350/25936 loss=2.6698 ppl=14.4 div=0.0016 lr=9.93e-04 | 505.1 samples/s | 129295 tok/s
[2026-03-09 09:01:40]   [1] batch 1400/25936 loss=2.6472 ppl=14.1 div=0.0013 lr=9.93e-04 | 505.2 samples/s | 129343 tok/s
